Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,157399;Right Hand Presence Physics;(0.89, 1.20, 5.44);(335.93, 18.28, 326.19)
8,157399;Left Hand Presence Physics;(0.50, 1.23, 5.37);(335.02, 6.90, 29.23)
8,157399;Right Hand Presence Physics;(0.89, 1.20, 5.44);(335.93, 18.28, 326.19)
8,157399;Left Hand Presence Physics;(0.50, 1.23, 5.37);(335.02, 6.90, 29.23)
8,157399;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,157399;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,157399;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,658529;Right Hand Presence Physics;(0.79, 1.18, 5.37);(331.17, 335.52, 359.78)
8,658529;Left Hand Presence Physics;(0.29, 1.11, 5.32);(342.56, 340.81, 6.48)
8,658529;Right Hand Presence Physics;(0.79, 1.18, 5.37);(331.17, 335.52, 359.78)
8,658529;Left Hand Presence Physics;(0.29, 1.11, 5.32);(342.56, 340.81, 6.48)
8,658529;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,658529;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,658529;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
9,160097;Right Hand Presence Physics;(0.56, 1.19, 5.93);(332.35, 337.11, 355.76)
9,160097;Left Hand Presence Physics;(-0.12, 0.84, 5.79);(15.52, 324.19, 352.20)
9,160097;Right Hand Presence Physics;(0.56, 1.19, 5.93);(332.35, 337.11, 355.76)
9,160097;Left Hand Presence Physics;(-0.12, 0.84, 5.79);(15.52, 324.19, 352.20)
9,160097;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9,160097;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9,160097;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
