Timestamp;Name;Position;Rotation;Grabbed
33,13127;Right Hand Presence Physics;(0.26, 0.60, 5.58);(338.07, 23.77, 349.91)
33,13127;Left Hand Presence Physics;(0.10, 0.61, 5.63);(347.03, 18.49, 4.97)
33,13127;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
33,13127;Metal Cube;(0.20, 0.55, 5.67);(0.00, 141.20, 0.00);False
33,63338;Right Hand Presence Physics;(0.22, 0.60, 5.57);(335.24, 18.84, 353.24)
33,63338;Left Hand Presence Physics;(0.13, 0.62, 5.60);(344.27, 24.08, 9.48)
33,63338;Right Hand Presence Physics;(0.22, 0.60, 5.57);(335.24, 18.84, 353.24)
33,63338;Left Hand Presence Physics;(0.13, 0.62, 5.60);(344.27, 24.08, 9.48)
33,63338;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
33,63338;Metal Cube;(0.22, 0.55, 5.68);(0.25, 120.64, 0.00);False
34,13902;Right Hand Presence Physics;(0.19, 0.61, 5.51);(329.76, 13.63, 353.10)
34,13902;Left Hand Presence Physics;(0.08, 0.63, 5.53);(334.41, 28.62, 10.26)
34,13902;Right Hand Presence Physics;(0.19, 0.61, 5.51);(329.76, 13.63, 353.10)
34,13902;Left Hand Presence Physics;(0.08, 0.63, 5.53);(334.41, 28.62, 10.26)
34,13902;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
34,13902;Metal Cube;(0.21, 0.55, 5.70);(0.00, 124.06, 0.00);False
34,64713;Right Hand Presence Physics;(0.18, 0.59, 5.54);(334.29, 19.70, 358.48)
34,64713;Left Hand Presence Physics;(0.02, 0.59, 5.49);(340.27, 10.90, 69.62)
34,64713;Right Hand Presence Physics;(0.18, 0.59, 5.54);(334.29, 19.70, 358.48)
34,64713;Left Hand Presence Physics;(0.02, 0.59, 5.49);(340.27, 10.90, 69.62)
34,64713;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
34,64713;Metal Cube;(0.21, 0.55, 5.70);(0.00, 124.06, 0.00);False
35,15789;Right Hand Presence Physics;(0.16, 0.57, 5.53);(333.48, 18.08, 358.29)
35,15789;Left Hand Presence Physics;(0.02, 0.59, 5.48);(335.30, 14.09, 68.55)
35,15789;Right Hand Presence Physics;(0.16, 0.57, 5.53);(333.48, 18.08, 358.29)
35,15789;Left Hand Presence Physics;(0.02, 0.59, 5.48);(335.30, 14.09, 68.55)
35,15789;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
35,15789;Metal Cube;(0.19, 0.55, 5.67);(0.04, 123.97, 0.00);True
35,66956;Right Hand Presence Physics;(0.17, 0.57, 5.52);(332.33, 19.60, 358.49)
35,66956;Left Hand Presence Physics;(0.01, 0.60, 5.47);(330.64, 18.32, 66.46)
35,66956;Right Hand Presence Physics;(0.17, 0.57, 5.52);(332.33, 19.60, 358.49)
35,66956;Left Hand Presence Physics;(0.01, 0.60, 5.47);(330.64, 18.32, 66.46)
35,66956;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
35,66956;Metal Cube;(0.15, 0.55, 5.59);(0.37, 124.89, 359.34);True
36,17274;Right Hand Presence Physics;(0.16, 0.58, 5.47);(328.96, 19.90, 0.29)
36,17274;Left Hand Presence Physics;(-0.02, 0.60, 5.48);(334.25, 7.06, 68.06)
36,17274;Right Hand Presence Physics;(0.16, 0.58, 5.47);(328.96, 19.90, 0.29)
36,17274;Left Hand Presence Physics;(-0.02, 0.60, 5.48);(334.25, 7.06, 68.06)
36,17274;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
36,17274;Metal Cube;(0.15, 0.55, 5.58);(0.00, 125.99, 0.00);False
36,67581;Right Hand Presence Physics;(0.19, 0.59, 5.50);(330.81, 23.85, 357.16)
