Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
14,60559;Left Hand Presence Physics;(-0.10, 0.75, 5.64);(20.25, 317.49, 15.18)
14,60559;Right Hand Presence Physics;(0.59, 1.09, 5.83);(333.02, 349.38, 336.21)
14,60559;Left Hand Presence Physics;(-0.10, 0.75, 5.64);(20.25, 317.49, 15.18)
14,60559;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
14,60559;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True
15,0648;Right Hand Presence Physics;(0.60, 1.09, 5.82);(331.93, 350.25, 334.49)
15,0648;Left Hand Presence Physics;(0.18, 1.27, 5.43);(287.34, 198.64, 114.13)
15,0648;Right Hand Presence Physics;(0.60, 1.09, 5.82);(331.93, 350.25, 334.49)
15,0648;Left Hand Presence Physics;(0.18, 1.27, 5.43);(287.34, 198.64, 114.13)
15,0648;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,0648;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True
15,10654;Right Hand Presence Physics;(0.60, 1.10, 5.82);(331.72, 350.13, 334.51)
15,10654;Left Hand Presence Physics;(0.20, 1.28, 5.40);(294.28, 188.93, 125.40)
15,10654;Right Hand Presence Physics;(0.60, 1.10, 5.82);(331.72, 350.13, 334.51)
15,10654;Left Hand Presence Physics;(0.20, 1.28, 5.40);(294.28, 188.93, 125.40)
15,10654;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,10654;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True
27,67862;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
15,56615;Right Hand Presence Physics;(0.61, 1.10, 5.82);(330.33, 351.78, 333.83)
15,56615;Left Hand Presence Physics;(-0.01, 0.95, 5.80);(2.71, 322.76, 328.94)
15,56615;Right Hand Presence Physics;(0.61, 1.10, 5.82);(330.33, 351.78, 333.83)
15,56615;Left Hand Presence Physics;(-0.01, 0.95, 5.80);(2.71, 322.76, 328.94)
15,56615;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,56615;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
15,60789;Right Hand Presence Physics;(0.61, 1.10, 5.82);(330.80, 351.42, 334.08)
15,60789;Left Hand Presence Physics;(0.01, 0.92, 5.79);(1.39, 326.75, 337.90)
15,60789;Right Hand Presence Physics;(0.61, 1.10, 5.82);(330.80, 351.42, 334.08)
15,60789;Left Hand Presence Physics;(0.01, 0.92, 5.79);(1.39, 326.75, 337.90)
15,60789;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,60789;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
16,06719;Right Hand Presence Physics;(0.82, 1.09, 5.35);(331.01, 349.09, 335.70)
16,06719;Left Hand Presence Physics;(0.21, 0.89, 5.29);(2.02, 317.33, 28.68)
16,06719;Right Hand Presence Physics;(0.82, 1.09, 5.35);(331.01, 349.09, 335.70)
16,06719;Left Hand Presence Physics;(0.21, 0.89, 5.29);(2.02, 317.33, 28.68)
16,06719;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,06719;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
16,10911;Right Hand Presence Physics;(0.84, 1.09, 5.24);(331.02, 349.08, 335.74)
