Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,646028;Left Hand Presence Physics;(0.36, 0.77, 4.07);(327.04, 353.72, 8.38)
8,646028;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,646028;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,646028;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9,147548;Right Hand Presence Physics;(0.69, 0.80, 5.44);(322.31, 345.51, 336.11)
9,147548;Left Hand Presence Physics;(0.31, 0.78, 5.30);(326.58, 346.40, 9.32)
9,147548;Right Hand Presence Physics;(0.69, 0.80, 5.44);(322.31, 345.51, 336.11)
9,147548;Left Hand Presence Physics;(0.31, 0.78, 5.30);(326.58, 346.40, 9.32)
9,147548;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9,147548;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
9,147548;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9,648664;Right Hand Presence Physics;(0.52, 0.80, 5.53);(322.62, 344.83, 336.79)
9,648664;Left Hand Presence Physics;(-0.01, 0.77, 5.38);(329.23, 325.10, 5.72)
9,648664;Right Hand Presence Physics;(0.52, 0.80, 5.53);(322.62, 344.83, 336.79)
9,648664;Left Hand Presence Physics;(-0.01, 0.77, 5.38);(329.23, 325.10, 5.72)
9,648664;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9,648664;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
9,648664;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
10,14964;Right Hand Presence Physics;(0.52, 0.79, 5.54);(322.96, 344.96, 336.61)
10,14964;Left Hand Presence Physics;(-0.10, 0.65, 5.57);(357.61, 324.11, 350.41)
10,14964;Right Hand Presence Physics;(0.52, 0.79, 5.54);(322.96, 344.96, 336.61)
10,14964;Left Hand Presence Physics;(-0.10, 0.65, 5.57);(357.61, 324.11, 350.41)
10,14964;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
10,14964;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
10,14964;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
21,52944;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True
10,65076;Right Hand Presence Physics;(0.52, 0.79, 5.53);(322.52, 344.13, 337.10)
10,65076;Left Hand Presence Physics;(-0.08, 0.68, 5.56);(354.74, 326.41, 3.78)
10,65076;Right Hand Presence Physics;(0.52, 0.79, 5.53);(322.52, 344.13, 337.10)
10,65076;Left Hand Presence Physics;(-0.08, 0.68, 5.56);(354.74, 326.41, 3.78)
10,65076;Metal Cube;(-0.08, 0.65, 5.62);(345.93, 3.06, 9.24);True
10,65076;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
10,65076;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
11,15176;Right Hand Presence Physics;(0.52, 0.79, 5.53);(322.77, 343.43, 337.84)
11,15176;Left Hand Presence Physics;(-0.05, 0.61, 5.51);(5.35, 337.26, 0.25)
11,15176;Right Hand Presence Physics;(0.52, 0.79, 5.53);(322.77, 343.43, 337.84)
11,15176;Left Hand Presence Physics;(-0.05, 0.61, 5.51);(5.35, 337.26, 0.25)
11,15176;Metal Cube;(-0.04, 0.57, 5.56);(356.58, 13.39, 12.72);True
11,15176;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
11,15176;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
22,88397;Metal Cube;(-0.06, 0.56, 5.54);(359.12, 7.49, 6.44);False
11,65306;Right Hand Presence Physics;(0.52, 0.79, 5.53);(322.57, 343.52, 337.73)
11,65306;Left Hand Presence Physics;(-0.06, 0.63, 5.49);(357.86, 332.48, 359.98)
11,65306;Right Hand Presence Physics;(0.52, 0.79, 5.53);(322.57, 343.52, 337.73)
11,65306;Left Hand Presence Physics;(-0.06, 0.63, 5.49);(357.86, 332.48, 359.98)
11,65306;Metal Cube;(-0.07, 0.55, 5.54);(359.60, 6.17, 3.37);False
11,65306;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
