Timestamp;Name;Position;Rotation;Grabbed
12.01537;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.01537;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.01537;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.01537;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
12.01537;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
12.51611;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.51611;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.51611;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.51611;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
12.51611;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
12.51611;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
13.01615;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.01615;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.01615;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.01615;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.01615;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
13.01615;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
13.51715;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.51715;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.51715;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.51715;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
13.51715;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
13.51715;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
14.01839;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.01839;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.01839;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.01839;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.01839;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
14.01839;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
14.51849;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.51849;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.51849;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.51849;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
14.51849;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
14.51849;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
15.01988;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.01988;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.01988;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.01988;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.01988;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15.01988;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
15.52023;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.52023;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.52023;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.52023;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
15.52023;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15.52023;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
16.02113;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.02113;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.02113;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.02113;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.02113;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
