Timestamp;Type;Name;Position;Rotation
22,18086;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
22,18086;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
22,18086;1;Right Controller;(0.42, 0.34, 0.57);(0.26, 355.72, 352.26)
22,18086;1;Left Controller;(0.23, 0.40, 0.51);(356.66, 357.02, 3.18)
22,18086;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
22,68181;1;Main Camera;(0.34, 0.69, 0.30);(2.44, 351.42, 0.69)
22,68181;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
22,68181;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
22,68181;1;Right Controller;(0.42, 0.34, 0.57);(359.39, 355.83, 352.12)
22,68181;1;Left Controller;(0.23, 0.42, 0.50);(345.04, 356.77, 359.66)
22,68181;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
23,18354;1;Main Camera;(0.34, 0.69, 0.30);(2.68, 351.83, 0.97)
23,18354;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
23,18354;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
23,18354;1;Right Controller;(0.42, 0.35, 0.57);(357.74, 354.85, 351.21)
23,18354;1;Left Controller;(0.22, 0.40, 0.51);(353.64, 355.17, 2.46)
23,18354;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
23,68451;1;Main Camera;(0.33, 0.69, 0.30);(2.79, 351.81, 1.10)
23,68451;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
23,68451;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
23,68451;1;Right Controller;(0.42, 0.35, 0.56);(356.08, 353.40, 349.90)
23,68451;1;Left Controller;(0.22, 0.40, 0.51);(355.10, 354.67, 3.07)
23,68451;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
24,18729;1;Main Camera;(0.34, 0.69, 0.31);(3.05, 352.04, 1.06)
24,18729;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
24,18729;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
24,18729;1;Right Controller;(0.42, 0.36, 0.57);(358.04, 355.98, 350.60)
24,18729;1;Left Controller;(0.23, 0.39, 0.51);(357.09, 356.24, 5.44)
24,18729;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
24,75125;1;Main Camera;(0.34, 0.69, 0.31);(2.85, 352.11, 0.98)
24,75125;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
24,75125;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
24,75125;1;Right Controller;(0.42, 0.35, 0.57);(359.80, 358.27, 352.72)
24,75125;1;Left Controller;(0.22, 0.39, 0.52);(356.98, 352.38, 3.89)
24,75125;2;Cube;(-0.06, 0.53, 5.47);(359.21, 358.09, 1.13)
25,25642;1;Main Camera;(0.33, 0.69, 0.31);(2.31, 351.83, 1.04)
25,25642;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
25,25642;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
25,25642;1;Right Controller;(0.42, 0.35, 0.57);(359.39, 358.03, 353.10)
25,25642;1;Left Controller;(0.21, 0.40, 0.51);(354.29, 351.06, 2.71)
25,25642;2;Cube;(-0.24, 0.63, 5.10);(356.92, 352.26, 4.22)
25,75817;1;Main Camera;(0.34, 0.70, 0.30);(359.78, 351.02, 0.75)
25,75817;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
25,75817;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
25,75817;1;Right Controller;(0.42, 0.35, 0.57);(358.94, 357.65, 352.92)
25,75817;1;Left Controller;(0.19, 0.46, 0.50);(341.22, 345.27, 2.78)
25,75817;2;Cube;(-0.51, 1.51, 4.93);(346.16, 348.79, 1.62)
26,25957;1;Main Camera;(0.33, 0.70, 0.29);(357.42, 348.09, 1.14)
26,25957;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
26,25957;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
26,25957;1;Right Controller;(0.42, 0.36, 0.57);(359.06, 357.61, 353.03)
26,25957;1;Left Controller;(0.18, 0.42, 0.53);(352.14, 341.13, 348.55)
26,25957;2;Cube;(-0.64, 1.15, 5.03);(350.53, 347.44, 353.15)
26,76105;1;Main Camera;(0.33, 0.70, 0.29);(356.29, 346.47, 1.81)
26,76105;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
26,76105;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
26,76105;1;Right Controller;(0.42, 0.36, 0.57);(358.39, 356.59, 352.69)
26,76105;1;Left Controller;(0.20, 0.43, 0.53);(348.34, 343.19, 349.12)
26,76105;2;Cube;(-0.93, 1.66, 4.82);(344.13, 343.27, 351.00)
27,26262;1;Main Camera;(0.32, 0.70, 0.29);(356.28, 344.13, 2.10)
27,26262;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
27,26262;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
27,26262;1;Right Controller;(0.41, 0.36, 0.57);(358.56, 356.01, 352.56)
27,26262;1;Left Controller;(0.17, 0.51, 0.56);(332.88, 333.17, 350.80)
27,26262;2;Cube;(-1.66, 1.54, 4.73);(345.87, 334.49, 349.32)
27,76373;1;Main Camera;(0.33, 0.74, 0.25);(335.11, 345.76, 3.66)
27,76373;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
27,76373;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
27,76373;1;Right Controller;(0.40, 0.38, 0.55);(349.58, 349.93, 355.24)
27,76373;1;Left Controller;(0.18, 0.51, 0.57);(336.82, 334.70, 356.33)
27,76373;2;Cube;(-1.09, 3.87, 3.95);(319.85, 335.61, 354.14)
28,26498;1;Main Camera;(0.34, 0.75, 0.19);(318.48, 341.68, 3.04)
28,26498;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
28,26498;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
28,26498;1;Right Controller;(0.36, 0.55, 0.45);(306.69, 342.83, 356.83)
28,26498;1;Left Controller;(0.16, 0.43, 0.55);(345.93, 333.74, 357.37)
28,26498;2;Cube;(-0.41, 4.91, 2.94);(294.28, 331.66, 3.48)
28,76625;1;Main Camera;(0.35, 0.75, 0.16);(307.91, 349.47, 0.75)
28,76625;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
28,76625;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
28,76625;1;Right Controller;(0.40, 0.58, 0.43);(300.28, 0.42, 344.57)
28,76625;1;Left Controller;(0.17, 0.43, 0.54);(345.85, 336.03, 357.01)
28,76625;2;Cube;(0.21, 3.86, 2.08);(298.94, 0.44, 344.20)
29,26835;1;Main Camera;(0.34, 0.74, 0.23);(330.87, 350.23, 359.79)
29,26835;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
29,26835;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
29,26835;1;Right Controller;(0.39, 0.46, 0.58);(348.23, 356.32, 354.51)
29,26835;1;Left Controller;(0.16, 0.42, 0.54);(348.38, 335.79, 356.87)
29,26835;2;Cube;(-0.37, 2.22, 4.65);(339.33, 353.48, 355.44)
29,76796;1;Main Camera;(0.33, 0.72, 0.29);(348.24, 356.77, 1.76)
29,76796;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
29,76796;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
29,76796;1;Right Controller;(0.45, 0.44, 0.61);(344.68, 12.63, 355.19)
29,76796;1;Left Controller;(0.18, 0.41, 0.54);(349.21, 338.02, 356.11)
29,76796;2;Cube;(1.81, 1.67, 5.61);(348.65, 18.52, 349.10)
30,2694;1;Main Camera;(0.32, 0.71, 0.29);(349.72, 347.89, 2.47)
30,2694;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
30,2694;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
30,2694;1;Right Controller;(0.51, 0.42, 0.64);(353.26, 28.06, 346.93)
30,2694;1;Left Controller;(0.16, 0.40, 0.54);(351.14, 334.99, 358.19)
30,2694;2;Cube;(0.96, 1.26, 5.80);(352.38, 9.53, 354.88)
30,77108;1;Main Camera;(0.31, 0.70, 0.30);(353.16, 344.99, 2.70)
30,77108;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
30,77108;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
30,77108;1;Right Controller;(0.32, 0.42, 0.55);(346.10, 327.72, 18.55)
30,77108;1;Left Controller;(0.16, 0.38, 0.54);(353.97, 333.41, 355.57)
30,77108;2;Cube;(-1.84, 1.13, 4.46);(350.77, 334.43, 18.60)
31,27239;1;Main Camera;(0.31, 0.72, 0.28);(343.53, 345.70, 3.11)
31,27239;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
31,27239;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
31,27239;1;Right Controller;(0.42, 0.46, 0.61);(333.03, 6.13, 5.58)
31,27239;1;Left Controller;(0.17, 0.36, 0.55);(354.80, 335.93, 354.33)
31,27239;2;Cube;(1.93, 2.78, 4.90);(334.40, 23.41, 355.25)
31,77261;1;Main Camera;(0.41, 0.72, 0.26);(344.36, 48.21, 353.96)
31,77261;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
31,77261;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
31,77261;1;Right Controller;(0.61, 0.48, 0.56);(333.91, 47.83, 348.47)
31,77261;1;Left Controller;(0.24, 0.35, 0.57);(355.05, 348.53, 354.14)
