Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
11,64617;Right Hand Presence Physics;(0.38, 0.76, 5.41);(329.18, 12.56, 335.57)
11,64617;Left Hand Presence Physics;(-0.10, 0.94, 5.48);(333.07, 326.63, 45.46)
11,64617;Metal Cube;(-0.18, 0.75, 6.16);(46.74, 273.08, 56.31);False;
12,14726;Right Hand Presence Physics;(0.37, 0.76, 5.39);(328.89, 11.15, 336.49)
12,14726;Left Hand Presence Physics;(-0.07, 0.89, 5.42);(323.33, 336.98, 31.54)
12,14726;Right Hand Presence Physics;(0.37, 0.76, 5.39);(328.89, 11.15, 336.49)
12,14726;Left Hand Presence Physics;(-0.07, 0.89, 5.42);(323.33, 336.98, 31.54)
12,14726;Metal Cube;(-0.33, 0.05, 6.46);(90.00, 149.04, 0.00);False;
12,64857;Right Hand Presence Physics;(0.11, 0.75, 4.23);(328.77, 8.71, 338.02)
12,64857;Left Hand Presence Physics;(-0.29, 0.79, 4.23);(328.73, 344.89, 27.79)
12,64857;Right Hand Presence Physics;(0.11, 0.75, 4.23);(328.77, 8.71, 338.02)
12,64857;Left Hand Presence Physics;(-0.29, 0.79, 4.23);(328.73, 344.89, 27.79)
12,64857;Metal Cube;(-0.33, 0.05, 6.46);(90.00, 149.04, 0.00);False;
13,14969;Right Hand Presence Physics;(0.25, 0.75, 3.20);(328.64, 7.33, 338.97)
13,14969;Left Hand Presence Physics;(-0.17, 0.80, 3.17);(320.67, 338.87, 28.52)
13,14969;Right Hand Presence Physics;(0.25, 0.75, 3.20);(328.64, 7.33, 338.97)
13,14969;Left Hand Presence Physics;(-0.17, 0.80, 3.17);(320.67, 338.87, 28.52)
13,14969;Metal Cube;(-0.33, 0.05, 6.46);(90.00, 149.04, 0.00);False;
13,65097;Right Hand Presence Physics;(-0.85, 0.76, 3.68);(328.27, 7.23, 339.22)
13,65097;Left Hand Presence Physics;(-1.35, 0.81, 3.64);(318.54, 326.30, 22.11)
13,65097;Right Hand Presence Physics;(-0.85, 0.76, 3.68);(328.27, 7.23, 339.22)
13,65097;Left Hand Presence Physics;(-1.35, 0.81, 3.64);(318.54, 326.30, 22.11)
13,65097;Metal Cube;(-0.33, 0.05, 6.46);(90.00, 149.04, 0.00);False;
