Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,234902;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,234902;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
8,73725;Right Hand Presence Physics;(0.29, 1.14, 0.38);(336.45, 9.14, 352.15)
8,73725;Left Hand Presence Physics;(0.00, 1.14, 0.49);(332.87, 15.26, 21.22)
8,73725;Right Hand Presence Physics;(0.29, 1.14, 0.38);(336.45, 9.14, 352.15)
8,73725;Left Hand Presence Physics;(0.00, 1.14, 0.49);(332.87, 15.26, 21.22)
8,73725;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,73725;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,73725;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
9,238381;Right Hand Presence Physics;(0.21, 1.15, 1.21);(334.11, 9.74, 350.35)
9,238381;Left Hand Presence Physics;(-0.09, 1.15, 1.32);(327.99, 15.04, 18.70)
9,238381;Right Hand Presence Physics;(0.21, 1.15, 1.21);(334.11, 9.74, 350.35)
9,238381;Left Hand Presence Physics;(-0.09, 1.15, 1.32);(327.99, 15.04, 18.70)
9,238381;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9,238381;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9,238381;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
9,74002;Right Hand Presence Physics;(0.33, 1.13, 2.44);(338.01, 3.90, 352.13)
9,74002;Left Hand Presence Physics;(0.07, 1.15, 2.55);(328.86, 15.06, 19.05)
9,74002;Right Hand Presence Physics;(0.33, 1.13, 2.44);(338.01, 3.90, 352.13)
9,74002;Left Hand Presence Physics;(0.07, 1.15, 2.55);(328.86, 15.06, 19.05)
